Country,Arrival by mode of transport,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CAMBODIA,Land,0.0,0.0,0.0,104.0,105.0,115.0,197.0,264.0,245.0,336.0,445.0,525.0,675.0,814.0,972.0,1126.0,1320.0,1786.0,2117.0,2132.0,2151.0,2153.9,2144.0,1960.0,2049.7,498.4,96.4,1467.2
CAMEROON,Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,217.0,224.0,218.0,267.0,279.0,351.0,269.0,244.0,308.2,400.7,463.8,474.7,489.1,258.3,440.8,238.1
CAMEROON,Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,19.0,27.0,8.0,11.0,32.0,21.0,24.0,26.7,30.0,28.1,16.5,19.4,13.0,20.1,12.3
CAMEROON,Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,248.0,244.0,253.0,298.0,314.0,434.0,493.0,554.0,562.5,563.7,589.3,505.8,512.9,344.8,502.3,288.9
CANADA,Air,5731.5,6318.6,6621.8,6941.3,7351.3,7634.3,7347.7,7192.6,6408.8,7497.4,7746.5,7785.2,7818.0,7651.5,6781.0,7162.5,7254.6,7418.4,7176.7,7728.4,8422.5,9802.4,10576.8,10372.1,10999.0,1663.7,1594.9,6669.1
CANADA,Water,301.5,280.1,355.3,380.1,358.8,483.7,530.3,530.9,625.6,713.9,706.4,753.9,833.2,844.7,812.6,806.5,764.3,725.3,722.1,717.5,706.4,795.5,847.9,959.5,1113.5,1.8,6.2,388.2
CANADA,Land,10935.099999999999,10730.000000000002,10691.699999999999,11548.5,11701.199999999999,11509.400000000001,11801.4,12333.5,10499.9,10933.6,10317.6,9726.3,9283.699999999999,8646.0,8143.599999999999,8250.4,7997.2,8200.4,8160.5,8091.1,8848.499999999998,9373.4,9458.500000000002,9802.3,10032.9,1294.5,1461.1,5766.8
CAYMAN ISLANDS,Air,361.0,373.0,381.0,404.0,395.0,354.0,334.0,303.0,294.0,260.0,168.0,267.0,292.0,303.0,272.0,288.0,309.0,322.0,345.0,383.0,385.0,385.0,418.4,463.0,503.0,121.8,17.3,284.3
CAYMAN ISLANDS,Water,683.0,800.0,867.0,871.0,1036.0,1031.0,1215.0,1575.0,1819.0,1693.0,1799.0,1930.0,1716.0,1553.0,1520.0,1598.0,1401.0,1507.0,1376.0,1610.0,1717.0,1712.0,1728.4,1921.0,1831.0,538.1,0.0,743.4
CENTRAL AFRICAN REPUBLIC,Air,26.0,21.0,17.0,7.5,10.0,11.2,9.9,2.9,5.7,8.2,12.0,13.7,17.1,30.6,52.4,53.8,65.4,70.8,84.0,96.0,121.0,82.0,107.0,109.0,87.0,35.0,0.0,0.0
CHAD,Air,0.0,0.0,0.0,27.0,31.0,38.0,79.0,80.0,54.0,48.0,21.0,42.0,74.0,58.0,67.0,62.0,74.0,84.0,97.0,119.0,120.0,98.0,87.0,77.0,79.0,11.0,40.0,0.0
CHAD,Land,0.0,0.0,0.0,14.0,15.0,16.0,39.0,40.0,27.0,21.0,9.0,4.0,3.0,3.0,3.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHILE,Air,552.0,571.0,655.0,683.0,640.0,662.0,649.0,606.0,708.0,760.0,855.0,912.0,1055.0,1086.0,1030.0,1052.0,1265.0,1445.0,1475.0,1534.96,1710.0,1985.0,2569.3,2364.3,2078.9,422.6,185.9,1135.3
CHILE,Water,8.0,6.0,13.0,17.0,20.0,26.0,34.0,28.0,37.0,67.0,75.0,95.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHILE,Land,980.0,872.0,975.0,1057.0,972.0,1054.0,1040.0,778.0,869.0,958.0,1097.0,1246.0,1348.0,1624.0,1730.0,1749.0,1872.0,2109.0,2101.0,2139.5,2768.0,3656.0,3880.6,3358.6,2439.1,696.5,4.1,895.1
CHINA,Air,4813.0,5325.0,5856.0,5559.0,6627.0,7745.0,8617.0,10343.0,8080.0,12617.0,14736.0,16500.0,18815.0,16813.0,16301.0,20014.0,20911.0,21421.0,20744.2,21086.2,21012.3,22675.6,23070.0,24448.1,25298.6,0.0,0.0,0.0
CHINA,Water,3997.0,4164.0,4578.0,3754.0,3814.0,3860.0,4115.0,4377.0,3787.0,4727.0,5212.0,5484.0,5920.0,5480.0,4672.0,5039.0,5082.0,4793.0,4643.6,4593.7,4540.4,4731.5,4612.4,4658.8,4228.6,0.0,0.0,0.0
CHINA,Land,37577.0,41637.0,47154.0,54164.0,62355.0,71839.0,76280.0,83188.0,79794.0,91694.0,100345.0,102958.0,107137.0,107734.0,105503.0,108709.0,109430.0,106191.0,103690.0,102818.3,108267.7,114366.5,125577.7,129499.5,133010.59999999998,0.0,0.0,0.0
COLOMBIA,Air,294.0,495.0,546.0,645.0,510.0,520.0,549.0,507.0,551.0,701.0,834.0,936.0,1055.0,1068.0,1192.0,1145.9,1384.5,1284.1,1394.0,1576.7,1852.7,2094.2,2310.6,2570.1,2671.1,758.2,1234.0,2901.7
COLOMBIA,Water,70.0,193.0,162.0,149.0,181.0,150.0,175.0,96.0,44.0,51.0,50.0,52.0,128.0,231.0,6.0,9.8,16.9,14.4,18.6,28.9,29.9,32.9,39.8,42.6,44.2,11.1,6.4,22.7
COLOMBIA,Land,1035.0,63.0,50.0,0.0,34.0,37.0,64.0,58.0,73.0,88.0,97.0,116.0,139.0,151.0,155.0,61.3,69.4,66.8,74.4,89.4,102.2,113.9,115.4,96.4,98.7,22.4,8.8,115.9
COMOROS,Air,23.0,24.0,26.0,27.0,24.0,24.0,19.4,18.9,14.4,17.6,19.6,17.1,15.2,14.8,11.3,15.3,18.8,22.8,21.9,22.8,23.6,26.8,28.0,35.9,45.1,7.0,28.8,0.0
CONGO,Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,115.0,136.0,150.0,151.0,163.2,132.5,97.4,95.7,0.0,0.0,0.0,0.0
CONGO,Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,109.0,123.0,195.0,78.0,61.1,80.3,53.2,62.4,0.0,0.0,0.0,0.0
"CONGO, DEMOCRATIC REPUBLIC OF THE",Air,20.0,0.0,0.0,0.0,0.0,0.0,26.0,28.0,35.0,36.0,39.0,41.0,47.0,50.0,53.0,81.0,160.0,156.0,180.0,0.0,187.4,186.2,0.0,0.0,0.0,0.0,0.0,0.0
